game_id,home_team_id,away_team_id,home_team_goals,away_team_goals,home_team_yellow_cards,away_team_yellow_cards,home_team_corners,away_team_corners,home_team_shots_on_goal,away_team_shots_on_goal,home_team_fouls,away_team_fouls,book_goals_w1,book_goals_x,book_goals_w2,book_goals_x1,book_goals_x2,book_goals_h1_0,book_goals_h2_0,book_goals_over_two,book_goals_under_two,book_goals_over_two_and_five,book_goals_under_two_and_five,book_goals_over_three,book_goals_under_three,book_goals_over_three_and_five,book_goals_under_three_and_five,book_goals_over_four,book_goals_under_four,book_goals_under_three
1,5,14,3,0,1,2,5,9,6,6,15,15,3.200000047683716,2.559999942779541,2.759999990463257,1.4222222566604614,1.3281203508377075,2.116231918334961,1.8252500295639038,1.7699999809265137,1.9800000190734863,2.450000047683716,1.5800000429153442,3.5999999046325684,1.2599999904632568,4.179999828338623,1.190000057220459,8.199999809265137,1.0399999618530273,1.2599999904632568
2,4,9,4,4,3,3,1,4,5,4,,,2.6700000762939453,2.7699999809265137,3.009999990463257,1.3595404624938965,1.4425086975097656,1.8493022918701172,2.084794044494629,1.659999966621399,2.1500000953674316,2.2100000381469727,1.7000000476837158,3.359999895095825,1.2999999523162842,3.940000057220459,1.2100000381469727,7.400000095367432,1.0499999523162842,1.2999999523162842
3,7,8,1,0,2,4,4,3,5,1,0,0,2.5,2.9000000953674316,3.119999885559082,1.3425925970077515,1.5029900074005127,1.765256404876709,2.2030398845672607,1.659999966621399,2.140000104904175,2.259999990463257,1.659999966621399,3.240000009536743,1.309999942779541,3.9000000953674316,1.2100000381469727,7,1.059999942779541,1.309999942779541
4,17,16,1,0,2,1,1,8,3,0,,,2.299999952316284,3.0899999141693115,3.259999990463257,1.318552851676941,1.5863622426986694,1.6714110374450684,2.3690435886383057,1.690000057220459,2.0899999141693115,2.2899999618530273,1.649999976158142,3.380000114440918,1.2899999618530273,4.139999866485596,1.190000057220459,7.5,1.0499999523162842,1.2899999618530273
5,10,12,1,1,1,3,3,4,2,2,,,2.9800000190734863,3.0799999237060547,2.4700000286102295,1.51458740234375,1.3707387447357178,2.1623482704162598,1.7922818660736084,1.600000023841858,2.25,2.0999999046325684,1.7699999809265137,3.119999885559082,1.3300000429153442,3.640000104904175,1.2400000095367432,6.900000095367432,1.059999942779541,1.3300000429153442
6,3,11,2,0,3,2,5,4,8,2,,,1.3700000047683716,4.659999847412109,8.100000381469727,1.0587396621704102,2.9581503868103027,1.1457531452178955,6.774160385131836,1.4500000476837158,2.619999885559082,1.9500000476837158,1.8899999856948853,2.5999999046325684,1.4600000381469727,3.1700000762939453,1.2999999523162842,5.349999904632568,1.1100000143051147,1.4600000381469727
7,2,15,2,1,2,1,9,4,5,3,,,1.3700000047683716,4.739999771118164,7.800000190734863,1.0628150701522827,2.9483253955841064,1.1521282196044922,6.5595622062683105,1.3300000429153442,3.130000114440918,1.75,2.119999885559082,2.2100000381469727,1.6200000047683716,2.6500000953674316,1.4199999570846558,4.260000228881836,1.1799999475479126,1.6200000047683716
8,18,1,0,4,2,3,1,7,1,5,,,8.600000381469727,4.559999942779541,1.3700000047683716,2.9799392223358154,1.0534907579421997,7.131824970245361,1.1361162662506104,1.4199999570846558,2.75,1.899999976158142,1.940000057220459,2.440000057220459,1.5199999809265137,3.0999999046325684,1.3200000524520874,5,1.1299999952316284,1.5199999809265137
9,13,6,1,1,2,1,2,4,1,2,,,3.859999895095825,3.259999990463257,2,1.7673594951629639,1.2395436763763428,2.8714001178741455,1.487771987915039,1.5700000524520874,2.309999942779541,2.1600000858306885,1.7300000190734863,3.0799999237060547,1.340000033378601,3.5399999618530273,1.25,6.550000190734863,1.0700000524520874,1.340000033378601
10,9,7,3,2,3,3,2,7,6,8,23,14,2.0399999618530273,3.4000000953674316,3.5199999809265137,1.274999976158142,1.7294797897338867,1.5479545593261719,2.670980453491211,1.6200000047683716,2.2100000381469727,2.2100000381469727,1.7000000476837158,3.200000047683716,1.3200000524520874,3.819999933242798,1.2200000286102295,6.800000190734863,1.059999942779541,1.3200000524520874
